sentence,diction_label,source
Pakibukas po ang pinto sa araw na ito..,Polite,constructed
Nag-aaral ako ngayon para sa susunod na gawain..,Plain,constructed
Maaari po ba akong magtanong bago magsimula.?,Polite,constructed
Teka muna pagkatapos ng pulong..,Plain,constructed
Nagluluto si Ana ngayon.,Plain,constructed
May dala akong bag ngayong araw..,Plain,constructed
Bibili ako ng pagkain ngayong araw..,Plain,constructed
Pumunta siya sa palengke bago matapos ang araw..,Plain,constructed
Kumain na ako pagkatapos ng pulong..,Plain,constructed
Paumanhin po sa abala ngayong araw..,Polite,constructed
Ipinababatid ang bagong iskedyul ayon sa plano..,Formal,constructed
Hinggil sa usaping ito ang pulong para sa gawain..,Formal,constructed
Pakikuha po ng tubig ngayong araw..,Polite,constructed
Ipinagkakaloob ang kinakailangang impormasyon pagkatapos ng pulong..,Formal,constructed
May dala akong bag para sa gawain..,Plain,constructed
Umuwi sila kahapon sa araw na ito..,Plain,constructed
Pakiabot po nito sa araw na ito..,Polite,constructed
Ipinagbabawal ang pagpasok sa lugar sa itinakdang oras..,Formal,constructed
Pakitingnan po ito pagkatapos ng pulong..,Polite,constructed
Hinggil sa usaping ito ang pulong sa itinakdang oras..,Formal,constructed
Sandali lang bago matapos ang araw..,Plain,constructed
Maaari itong gamitin sa proseso ayon sa plano..,Formal,constructed
Ipinatutupad ang bagong alituntunin bago magsimula..,Formal,constructed
Uuwi ako mamaya sa araw na ito..,Plain,constructed
Tinutukoy ng ulat ang pangunahing resulta pagkatapos ng pulong..,Formal,constructed
Alinsunod sa patakaran ang proseso bago magsimula..,Formal,constructed
Maaari po ba akong magtanong?,Polite,constructed
Pakibasa po ang mensahe para sa susunod na gawain..,Polite,constructed
Pakibukas po ang pinto para sa gawain..,Polite,constructed
"Opo, naiintindihan ko po pagkatapos ng pulong..",Polite,constructed
Salamat po sa tulong para sa susunod na gawain..,Polite,constructed
Pakitulong po sa akin sa araw na ito..,Polite,constructed
Salamat po sa tulong.,Polite,constructed
May gagawin ako ngayon.,Plain,constructed
Paumanhin po sa abala sa araw na ito..,Polite,constructed
Ipinababatid ang bagong iskedyul bago matapos ang araw..,Formal,constructed
Tinanggap ang kumpletong aplikasyon bago magsimula..,Formal,constructed
Itinatakda ang bagong petsa ngayong araw..,Formal,constructed
Pupunta ako sa tindahan sa itinakdang oras..,Plain,constructed
Maaari po ba akong magtanong ngayong araw.?,Polite,constructed
Pinahihintulutan ang paggamit nito sa araw na ito..,Formal,constructed
Ipinagbabawal ang pagpasok sa lugar pagkatapos ng pulong..,Formal,constructed
Isinagawa ang kinakailangang pagsusuri bago matapos ang araw..,Formal,constructed
Pakisulat po ang pangalan.,Polite,constructed
"Pakiusap po, sandali lamang pagkatapos ng pulong..",Polite,constructed
Umuwi sila kahapon bago matapos ang araw..,Plain,constructed
Sandali lang para sa gawain..,Plain,constructed
Pakibasa po ang mensahe para sa gawain..,Polite,constructed
Makisuyo po sa pinto.,Polite,constructed
Uuwi ako mamaya ayon sa plano..,Plain,constructed
Ipinatutupad ang bagong alituntunin.,Formal,constructed
Naghihintay ako dito sa araw na ito..,Plain,constructed
Nagluluto si Ana ngayon ngayong araw..,Plain,constructed
"Samakatwid, kinakailangan ang karagdagang pagsusuri.",Formal,constructed
Maaari po ba itong gamitin ayon sa plano.?,Polite,constructed
Maaari po ba itong gamitin bago magsimula.?,Polite,constructed
Pakiabot po nito.,Polite,constructed
Naglalakad ako sa labas bago magsimula..,Plain,constructed
Naghihintay ako dito ngayong araw..,Plain,constructed
Ipinagkakaloob ang kinakailangang impormasyon bago magsimula..,Formal,constructed
Isinasaalang-alang ang lahat ng detalye sa itinakdang oras..,Formal,constructed
Pakidala po ito sa opisina ngayong araw..,Polite,constructed
Ipinapahayag ang opisyal na resulta para sa gawain..,Formal,constructed
Pakiabot po nito ayon sa plano..,Polite,constructed
"Opo, naiintindihan ko po bago matapos ang araw..",Polite,constructed
Puwede po ba akong sumali para sa gawain.?,Polite,constructed
"Gayunpaman, ipagpapatuloy ang proseso.",Formal,constructed
Pakitingnan po ito para sa susunod na gawain..,Polite,constructed
"Gayunpaman, ipagpapatuloy ang proseso para sa gawain..",Formal,constructed
Sandali lang bago magsimula..,Plain,constructed
Kumain na ako ayon sa plano..,Plain,constructed
Isinagawa ang kinakailangang pagsusuri ayon sa plano..,Formal,constructed
Bibili ako ng pagkain bago magsimula..,Plain,constructed
Ipinababatid ang bagong iskedyul para sa susunod na gawain..,Formal,constructed
Maaari itong gamitin sa proseso bago magsimula..,Formal,constructed
May gagawin ako ngayon ayon sa plano..,Plain,constructed
Naglalakad ako sa labas.,Plain,constructed
Kailangan ko ito ngayon pagkatapos ng pulong..,Plain,constructed
Pupunta ako sa tindahan sa araw na ito..,Plain,constructed
Isinumite ang dokumento para sa pagsusuri para sa gawain..,Formal,constructed
"Pakiusap po, sandali lamang bago matapos ang araw..",Polite,constructed
Naghihintay ako dito para sa susunod na gawain..,Plain,constructed
Paumanhin po sa abala.,Polite,constructed
Nagluluto si Ana ngayon sa araw na ito..,Plain,constructed
Salamat po sa tulong bago magsimula..,Polite,constructed
Makisuyo po sa pinto para sa gawain..,Polite,constructed
Pakitingnan po ito sa araw na ito..,Polite,constructed
Kinakailangan ang wastong dokumento ayon sa plano..,Formal,constructed
Nakasaad sa dokumento ang mga tuntunin sa araw na ito..,Formal,constructed
"Samakatwid, kinakailangan ang karagdagang pagsusuri para sa susunod na gawain..",Formal,constructed
Pakisabi po sa kanya ayon sa plano..,Polite,constructed
Pakikuha po ng tubig.,Polite,constructed
Uuwi ako mamaya bago matapos ang araw..,Plain,constructed
Kinakailangan ang wastong dokumento.,Formal,constructed
Hinggil sa usaping ito ang pulong ayon sa plano..,Formal,constructed
Pupunta kami bukas sa itinakdang oras..,Plain,constructed
Pakisabi po sa kanya para sa susunod na gawain..,Polite,constructed
Uuwi ako mamaya.,Plain,constructed
"Gayunpaman, ipagpapatuloy ang proseso pagkatapos ng pulong..",Formal,constructed
Pupunta ako sa tindahan para sa gawain..,Plain,constructed
"Pakiusap po, tulungan ninyo ako.",Polite,constructed
Naglalakad ako sa labas ngayong araw..,Plain,constructed
Pinahihintulutan ang paggamit nito sa itinakdang oras..,Formal,constructed
Ipinagbabawal ang pagpasok sa lugar ngayong araw..,Formal,constructed
Tinutukoy ng ulat ang pangunahing resulta sa araw na ito..,Formal,constructed
Maaari po ba akong magtanong bago matapos ang araw.?,Polite,constructed
Umuwi sila kahapon para sa gawain..,Plain,constructed
"Pakiusap po, sandali lamang bago magsimula..",Polite,constructed
"Pakiusap po, tulungan ninyo ako pagkatapos ng pulong..",Polite,constructed
Pakikuha po ng tubig sa araw na ito..,Polite,constructed
Nanonood kami ng pelikula.,Plain,constructed
Makisuyo po sa pinto sa itinakdang oras..,Polite,constructed
Maaari po ba itong gamitin para sa susunod na gawain.?,Polite,constructed
Pakisulat po ang pangalan ayon sa plano..,Polite,constructed
Nag-aaral ako ngayon bago matapos ang araw..,Plain,constructed
Tinutukoy ng ulat ang pangunahing resulta para sa susunod na gawain..,Formal,constructed
Ipinagkakaloob ang kinakailangang impormasyon para sa gawain..,Formal,constructed
Isinasaalang-alang ang lahat ng detalye para sa susunod na gawain..,Formal,constructed
Ipinagkakaloob ang kinakailangang impormasyon sa itinakdang oras..,Formal,constructed
Pakisara po ang bintana sa araw na ito..,Polite,constructed
Alinsunod sa patakaran ang proseso bago matapos ang araw..,Formal,constructed
Tatawag ako mamaya para sa susunod na gawain..,Plain,constructed
Nakasaad sa dokumento ang mga tuntunin ayon sa plano..,Formal,constructed
Itinatakda ang bagong petsa sa itinakdang oras..,Formal,constructed
Sandali lang sa araw na ito..,Plain,constructed
Tinutukoy ng ulat ang pangunahing resulta ayon sa plano..,Formal,constructed
Maaari itong gamitin sa proseso bago matapos ang araw..,Formal,constructed
Pakibasa po ang mensahe sa araw na ito..,Polite,constructed
Uuwi ako mamaya ngayong araw..,Plain,constructed
Pakisulat po ang pangalan sa itinakdang oras..,Polite,constructed
"Alinsunod dito, isinasagawa ang susunod na hakbang sa araw na ito..",Formal,constructed
Pupunta ako sa tindahan bago matapos ang araw..,Plain,constructed
Paumanhin po sa abala ayon sa plano..,Polite,constructed
Umuwi sila kahapon para sa susunod na gawain..,Plain,constructed
"Pakiusap po, tulungan ninyo ako para sa susunod na gawain..",Polite,constructed
Tinanggap ang kumpletong aplikasyon.,Formal,constructed
Isinagawa ang kinakailangang pagsusuri para sa gawain..,Formal,constructed
Pakisara po ang bintana pagkatapos ng pulong..,Polite,constructed
Puwede po ba akong sumali sa itinakdang oras.?,Polite,constructed
Pumunta siya sa palengke bago magsimula..,Plain,constructed
Teka muna para sa gawain..,Plain,constructed
Pakibasa po ang mensahe bago matapos ang araw..,Polite,constructed
Naghihintay ako dito para sa gawain..,Plain,constructed
"Gayunpaman, ipagpapatuloy ang proseso sa araw na ito..",Formal,constructed
Pakidala po ito sa opisina bago magsimula..,Polite,constructed
Pakitulong po sa akin.,Polite,constructed
Ipinatutupad ang bagong alituntunin ayon sa plano..,Formal,constructed
Uuwi ako mamaya bago magsimula..,Plain,constructed
Pupunta ako sa tindahan ngayong araw..,Plain,constructed
Umuwi sila kahapon ayon sa plano..,Plain,constructed
Nag-aaral ako ngayon sa itinakdang oras..,Plain,constructed
Pakidala po ito sa opisina ayon sa plano..,Polite,constructed
Nakasaad sa dokumento ang mga tuntunin ngayong araw..,Formal,constructed
Kumain na ako sa itinakdang oras..,Plain,constructed
